         136450955 function calls (133398617 primitive calls) in 99.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29900    0.065    0.000    0.664    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\base.py:1175(copy)
  1341329    0.480    0.000    0.634    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\base.py:7072(ensure_index)
   149548    0.242    0.000    0.632    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\base.py:54(shape)
   179194    0.325    0.000    0.617    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:460(is_na)
   125173    0.298    0.000    0.601    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\base.py:767(__iter__)
   125172    0.197    0.000    0.592    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\simpy\events.py:332(__init__)
   405369    0.207    0.000    0.581    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\_config\config.py:649(_warn_if_deprecated)
   125173    0.576    0.000    0.576    0.000 {built-in method pandas._libs.missing.isnaobj}
   810738    0.574    0.000    0.574    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\_config\config.py:610(_get_deprecated_option)
    89550    0.270    0.000    0.568    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\_asarray.py:27(require)
    89550    0.480    0.000    0.566    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:2249(_stack_arrays)
   383924    0.242    0.000    0.566    0.000 I:\csus\necs\NHSE BI\DCBI\Team Member Individual Folders\Madan\DES - Madan\DES - Madan\src\simulation.py:44(determine_destiny)
   650492    0.400    0.000    0.540    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1077(needs_i8_conversion)
   184973    0.077    0.000    0.539    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:982(__init__)
   125173    0.080    0.000    0.536    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\nanops.py:220(_maybe_get_mask)
   250346    0.503    0.000    0.529    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
    89598    0.181    0.000    0.522    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\missing.py:455(array_equivalent)
   375519    0.502    0.000    0.502    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\generic.py:5975(__getattr__)
   179294    0.240    0.000    0.500    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:551(is_dtype_equal)
   335734    0.298    0.000    0.488    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\simpy\core.py:164(schedule)
   698896    0.220    0.000    0.486    0.000 <frozen abc>:117(__instancecheck__)
   334723    0.181    0.000    0.470    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\common.py:571(require_length_match)
    29900    0.138    0.000    0.462    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:1004(_verify_integrity)
   365322    0.195    0.000    0.435    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\construction.py:703(_maybe_repeat)
   250996    0.394    0.000    0.435    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\warnings.py:466(__enter__)
    59700    0.383    0.000    0.426    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\cast.py:566(maybe_promote)
   125173    0.212    0.000    0.396    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\cast.py:1512(construct_1d_arraylike_from_scalar)
   448644    0.122    0.000    0.390    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\base.py:56(<genexpr>)
    29900    0.072    0.000    0.373    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\reshape\concat.py:648(_get_concat_axis)
   405369    0.164    0.000    0.365    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\_config\config.py:637(_translate_key)
   125172    0.136    0.000    0.365    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\simpy\events.py:259(__init__)
    29900    0.204    0.000    0.351    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\base.py:1600(_validate_names)
  2943941    0.346    0.000    0.346    0.000 {built-in method builtins.issubclass}
   401092    0.305    0.000    0.335    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\construction.py:458(ensure_wrapped_if_datetimelike)
   752844    0.231    0.000    0.332    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\inference.py:294(<genexpr>)
   125223    0.050    0.000    0.326    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\series.py:783(__len__)
